iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_EUN,,European Union,2022-10-22,172710849.0,36587.0,206523.143,1157827.0,129.0,526.143,385865.371,81.742,461.408,2586.782,0.288,1.175,,,,,,,,,,,,,,,,,,,910309074.0,337861689.0,327965135.0,263041603.0,154410.0,280900.0,203.38,75.48,73.27,58.77,628.0,9384.0,0.002,,,,,,,,,,,,,,,,447593544.0,,,,
FRO,Europe,Faeroe Islands,2022-10-22,34658.0,0.0,0.0,28.0,0.0,0.0,655309.333,0.0,0.0,529.421,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,52888.0,,,,
FLK,South America,Falkland Islands,2022-10-22,1930.0,0.0,0.0,,,,512752.391,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3764.0,,,,
FJI,Oceania,Fiji,2022-10-22,68257.0,0.0,1.286,878.0,0.0,0.0,73822.477,0.0,1.391,949.59,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,1544186.0,710476.0,639043.0,167483.0,,63.0,167.01,76.84,69.11,18.11,68.0,8.0,0.001,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,924610.0,,,,
FIN,Europe,Finland,2022-10-22,1335318.0,11863.0,1694.714,6407.0,165.0,23.571,241206.635,2142.886,306.127,1157.335,29.805,4.258,1.09,,,,,,,,,,,,,,,,,,12875789.0,4522291.0,4343836.0,4009662.0,,1968.0,232.58,81.69,78.47,72.43,355.0,6.0,0.0,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5535992.0,,,,
FRA,Europe,France,2022-10-22,36586874.0,49087.0,51909.286,156406.0,81.0,74.429,542654.831,728.056,769.916,2319.807,1.201,1.104,1.09,1039.0,15.41,20165.0,299.086,684.0,10.145,8148.0,120.851,,,,,,,,,,150226192.0,54583292.0,53079276.0,43645060.0,5423.0,4629.0,222.81,80.96,78.73,64.73,69.0,263.0,0.0,,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67422000.0,,,,
PYF,Oceania,French Polynesia,2022-10-22,76731.0,0.0,3.571,649.0,0.0,0.0,252378.039,0.0,11.747,2134.644,0.0,0.0,,,,,,,,,,,,,,,,,,,496786.0,190951.0,185887.0,111840.0,,18.0,163.4,62.81,61.14,36.79,59.0,15.0,0.005,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,304032.0,,,,
GAB,Africa,Gabon,2022-10-22,48810.0,0.0,0.0,306.0,0.0,0.0,20848.47,0.0,0.0,130.703,0.0,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2341179.0,,,,
GMB,Africa,Gambia,2022-10-22,12508.0,0.0,0.0,372.0,0.0,0.0,4738.03,0.0,0.0,140.914,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2639916.0,,,,
GEO,Asia,Georgia,2022-10-22,1780691.0,0.0,0.0,16900.0,0.0,0.0,473842.596,0.0,0.0,4497.097,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,2930677.0,1654504.0,1276173.0,,,171.0,77.99,44.03,33.96,,46.0,171.0,0.005,,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3757980.0,,,,
DEU,Europe,Germany,2022-10-22,35172694.0,1.0,80551.0,152482.0,204.0,151.714,421691.689,0.012,965.74,1828.134,2.446,1.819,1.06,1749.0,20.969,,,1621.0,19.434,10890.0,130.562,,,,,,,,,,187251057.0,64796903.0,63482176.0,61266087.0,100144.0,77716.0,224.5,77.69,76.11,73.45,932.0,724.0,0.001,,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83408554.0,,,,
GHA,Africa,Ghana,2022-10-22,170421.0,100.0,34.857,1460.0,0.0,0.0,5190.535,3.046,1.062,44.467,0.0,0.0,0.34,,,,,,,,,,,,,,,,,,20152826.0,11753461.0,8674764.0,2236453.0,,65483.0,61.38,35.8,26.42,6.81,1994.0,23960.0,0.073,,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,32833031.0,,,,
GIB,Europe,Gibraltar,2022-10-22,20121.0,0.0,0.0,108.0,0.0,0.0,615886.134,0.0,0.0,3305.785,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32670.0,,,,
GRC,Europe,Greece,2022-10-22,5081981.0,55487.0,7926.714,33426.0,113.0,16.143,486529.767,5312.117,758.874,3200.08,10.818,1.545,1.15,,,,,32.0,3.09,1325.0,126.889,,,,,,,,,,21598199.0,7929607.0,7639838.0,6606664.0,12534.0,9324.0,206.77,75.92,73.14,63.25,893.0,57.0,0.001,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10445365.0,,,,
GRL,North America,Greenland,2022-10-22,11971.0,0.0,0.0,21.0,0.0,0.0,212844.265,0.0,0.0,373.38,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,199.941,2.16,,,,,71.7,,56243.0,,,,
GRD,North America,Grenada,2022-10-22,19584.0,0.0,1.429,237.0,0.0,0.0,157162.347,0.0,11.464,1901.934,0.0,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,124610.0,,,,
GTM,North America,Guatemala,2022-10-22,1136527.0,687.0,451.429,19866.0,3.0,2.143,64544.288,39.015,25.637,1128.206,0.17,0.122,0.94,,,,,,,,,,,,,,,,,,19769935.0,8819427.0,6938221.0,4012287.0,,6309.0,112.28,50.09,39.4,22.79,358.0,1734.0,0.01,,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17608483.0,,,,
GIN,Africa,Guinea,2022-10-22,37999.0,0.0,7.0,456.0,0.0,0.143,2808.104,0.0,0.517,33.698,0.0,0.011,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13531906.0,,,,
GNB,Africa,Guinea-Bissau,2022-10-22,8831.0,0.0,0.0,176.0,0.0,0.0,4285.393,0.0,0.0,85.407,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2060721.0,,,,
GUY,South America,Guyana,2022-10-22,71422.0,3.0,3.0,1281.0,0.0,0.0,88770.73,3.729,3.729,1592.161,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,804567.0,,,,
HTI,North America,Haiti,2022-10-22,33764.0,0.0,0.0,857.0,0.0,0.0,2949.447,0.0,0.0,74.863,0.0,0.0,0.34,,,,,,,,,,,,,,,,,,476304.0,365708.0,224853.0,,,191.0,4.16,3.19,1.96,,17.0,161.0,0.001,,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11447569.0,,,,
OWID_HIC,,High income,2022-10-22,390058315.0,158941.0,383777.0,2697186.0,328.0,1208.286,314214.916,128.036,309.155,2172.742,0.264,0.973,,,,,,,,,,,,,,,,,,,2662347806.0,992365708.0,930192673.0,746571433.0,917903.0,1190543.0,214.47,79.94,74.93,60.14,959.0,77754.0,0.006,,,,,,,,,,,,,,,,1241374280.0,,,,
HND,North America,Honduras,2022-10-22,456886.0,222.0,31.714,11007.0,11.0,1.571,44451.315,21.599,3.086,1070.892,1.07,0.153,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10278346.0,,,,
HKG,Asia,Hong Kong,2022-10-22,1870066.0,5953.0,5397.429,10322.0,7.0,7.714,249522.521,794.308,720.178,1377.262,0.934,1.029,,,,,,,,,,,,,,,,,,,19694058.0,6883364.0,6725445.0,6085249.0,7062.0,12216.0,262.78,91.84,89.74,81.2,1630.0,525.0,0.007,,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7494578.0,,,,
HUN,Europe,Hungary,2022-10-22,2132490.0,11947.0,1706.714,47798.0,118.0,16.857,219622.76,1230.408,175.773,4922.663,12.153,1.736,1.29,,,,,,,,,,,,,,,,,,,6418810.0,6205327.0,4256244.0,,,,66.11,63.91,43.83,,33.0,0.0,,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9709786.0,,,,
ISL,Europe,Iceland,2022-10-22,206134.0,171.0,24.429,213.0,0.0,0.0,556614.957,461.744,65.963,575.155,0.0,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,370335.0,,,,
IND,Asia,India,2022-10-22,44642742.0,1994.0,1987.714,528961.0,4.0,9.429,31716.318,1.417,1.412,375.799,0.003,0.007,0.81,,,,,,,,,,,,,,,,,,2195113126.0,1026784601.0,949834302.0,218494223.0,440192.0,417428.0,155.95,72.95,67.48,15.52,297.0,23233.0,0.002,,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1407563842.0,,,,
IDN,Asia,Indonesia,2022-10-22,6469276.0,2087.0,1962.0,158416.0,18.0,16.429,23631.783,7.624,7.167,578.682,0.066,0.06,1.08,,,,,,,,,,,,,,,,,,439211020.0,204290837.0,170893574.0,64026609.0,,46491.0,160.44,74.63,62.43,23.39,170.0,4234.0,0.002,,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,273753191.0,,,,
OWID_INT,,International,2022-10-22,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022-10-22,7555903.0,209.0,271.0,144543.0,3.0,3.857,85937.307,2.377,3.082,1643.964,0.034,0.044,0.9,,,,,,,,,,,,,,,,,,154573470.0,65071717.0,58464156.0,31037597.0,,9589.0,175.8,74.01,66.49,35.3,109.0,1806.0,0.002,,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,87923432.0,,,,
IRQ,Asia,Iraq,2022-10-22,2460868.0,0.0,0.0,25356.0,0.0,0.0,56528.026,0.0,0.0,582.447,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,19299829.0,11181117.0,7866129.0,252583.0,,1745.0,44.33,25.68,18.07,0.58,40.0,893.0,0.002,,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,43533592.0,,,,
IRL,Europe,Ireland,2022-10-22,1670377.0,2076.0,296.571,8010.0,22.0,3.143,334978.099,416.322,59.475,1606.329,4.412,0.63,1.27,6.0,1.203,446.0,89.441,9.0,1.798,422.0,84.693,,,,,,,,,,,,,,,,,,,,,,,,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,4986526.0,,,,
IMN,Europe,Isle of Man,2022-10-22,38008.0,0.0,0.0,116.0,0.0,0.0,451063.931,0.0,0.0,1376.642,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84263.0,,,,
ISR,Asia,Israel,2022-10-22,4677053.0,560.0,651.571,11744.0,16.0,4.571,503396.082,60.273,70.129,1264.019,1.722,0.492,0.96,34.0,3.659,256.0,27.554,10.0,1.076,151.0,16.252,,,,,,,,,,18244029.0,6718836.0,6154988.0,5370205.0,312.0,661.0,196.36,72.32,66.25,57.8,71.0,24.0,0.0,,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9291000.0,,,,
