iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
NER,Africa,Niger,2022-10-22,9415.0,0.0,0.0,314.0,0.0,0.0,372.831,0.0,0.0,12.434,0.0,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,25252722.0,,,,
NGA,Africa,Nigeria,2022-10-22,266043.0,106.0,15.143,3155.0,0.0,0.0,1246.679,0.497,0.071,14.784,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,80602232.0,54918846.0,42076663.0,4699837.0,,491996.0,37.77,25.74,19.72,2.2,2305.0,417290.0,0.196,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,213401323.0,,,,
OWID_NAM,,North America,2022-10-22,115183276.0,6420.0,40831.143,1522390.0,27.0,421.857,193158.354,10.766,68.472,2552.995,0.045,0.707,,,,,,,,,,,,,,,,,,,1092434204.0,451602304.0,389127608.0,248383718.0,320204.0,638762.0,183.2,75.73,65.26,41.65,1071.0,62882.0,0.011,,,,,,,,,,,,,,,,596315269.0,,,,
PRK,Asia,North Korea,2022-10-22,1.0,0.0,0.0,6.0,0.0,0.0,0.039,0.0,0.0,0.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,25971909.0,,,,
MKD,Europe,North Macedonia,2022-10-22,343850.0,0.0,41.286,9559.0,0.0,1.143,163478.864,0.0,19.629,4544.698,0.0,0.543,1.21,,,,,,,,,,,,,,,,,,1861953.0,854335.0,837932.0,161328.0,,17.0,88.52,40.62,39.84,7.67,8.0,1.0,0.0,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2103330.0,,,,
OWID_NIR,Europe,Northern Ireland,2022-10-19,,,,,,,,,,,,,,,,328.0,172.996,,,115.0,60.654,,,,,,,,,,4163657.0,1429513.0,1357232.0,1376912.0,14523.0,11033.0,219.6,75.4,71.58,72.62,5819.0,23.0,0.001,,,,,,,,,,,,,,,,1896000.0,,,,
NOR,Europe,Norway,2022-10-22,1463958.0,31.0,74.286,4187.0,33.0,4.857,270951.751,5.738,13.749,774.937,6.108,0.899,1.03,,,,,4.0,0.742,85.0,15.766,,,,,,,,,,12071832.0,4346344.0,4053884.0,3671604.0,8608.0,4114.0,223.43,80.44,75.03,67.95,761.0,22.0,0.0,,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5403021.0,,,,
OWID_OCE,,Oceania,2022-10-22,12546047.0,949.0,6800.429,20452.0,0.0,14.857,281985.779,21.33,152.847,459.681,0.0,0.334,,,,,,,,,,,,,,,,,,,75245524.0,29070091.0,27929796.0,18207871.0,1199.0,1248.0,169.12,65.34,62.78,40.92,28.0,473.0,0.001,,,,,,,,,,,,,,,,44491772.0,,,,
OMN,Asia,Oman,2022-10-22,398660.0,236.0,33.714,4628.0,0.0,0.0,88189.925,52.207,7.458,1023.787,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,7084586.0,,3048323.0,779165.0,,92.0,156.72,,67.43,17.24,20.0,,,,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4520471.0,,,,
PAK,Asia,Pakistan,2022-10-22,1572778.0,0.0,0.0,30619.0,0.0,0.0,6796.731,0.0,0.0,132.319,0.0,0.0,0.13,,,,,,,,,,,,,,,,,,298941643.0,139497405.0,131946102.0,45967368.0,148598.0,98733.0,129.19,60.28,57.02,19.86,427.0,6381.0,0.003,,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,231402116.0,,,,
